Bebida,Comida,Quantidade
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
Refrigerante,Arroz,2
