Bebida,Comida,Quantidade
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
Teste, teste,200
Refrigerante,Arroz,2
Suco, feijao,10
Sucos, batata,1000
